"Qualification","Experience","Rating","Place","Profile","Fees"
"MBBS, MD - General Medicine, Post Graduate Diploma in Diabetology (PGDD)",13,99,"Tolichowki, Hyderabad","General Medicine",250
"BHMS, CGO",18,90,"Kandivali West, Mumbai","Homeopath",700
"MBBS, MD - Dermatology , Venereology & Leprosy",3,95,"Kadugodi, Bangalore","Dermatologists",500
"BDS",9,95,"Masab Tank, Hyderabad","Dentist",300
"BDS",5,95,"Prashant Vihar, Delhi","Dentist",250
"BAMS",35,95,"Borivali West, Mumbai","Ayurveda",500
"BAMS",15,95,"Bhandup West, Mumbai","Ayurveda",100
"BAMS",19,95,"New Thippasandra, Bangalore","Ayurveda",300
"MS - ENT, MBBS",23,95,"Old Rajendra Nagar, Delhi","ENT Specialist",700
"MBBS, MD - General Medicine, DM - Cardiology",29,95,"Tondiarpet, Chennai","General Medicine",100
"BHMS",15,95,"Srinagar Colony, Hyderabad","Homeopath",100
"MBBS",40,98,"Saibaba Colony, Coimbatore","General Medicine",250
"MBBS, MD - Dermatology",7,87,"Sahakaranagar, Bangalore","Dermatologists",400
"MBBS, DDVL",6,95,"Saligramam, Chennai","Dermatologists",300
"MBBS, DNB - Dermatology & Venereology, DDVL, FCPS Skin & VD",14,100,"Santacruz West, Mumbai","Dermatologists",100
"BHMS, MS - Psychology",13,100,"Vengal Rao Nagar, Hyderabad","Homeopath",500
"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",10,98,"Chullickal, Ernakulam","Dentist",100
"BHMS",15,95,"Chanda Nagar, Hyderabad","Homeopath",800
"MS - ENT, MBBS, DNB - ENT, Fellow of Academy of General Education (FAGE)",11,95,"HSR Layout, Bangalore","ENT Specialist",300
"BDS, MDS - Orthodontics",9,95,"Peelamedu, Coimbatore","Dentist",100
"BHMS, PG - Homeo, MD - Alternate Medicine, Post Graduate Diploma in Clinical Research (PGDCR)",11,95,"Kandivali East, Mumbai","Homeopath",500
"BDS, MDS - Periodontics",19,97,"Virugambakkam, Chennai","Dentist",200
"BAMS",14,96,"Vijayanagar, Bangalore","Ayurveda",150
"BDS",9,95,"Jayanagar, Bangalore","Dentist",100
"BHMS",8,95,"Andheri West, Mumbai","Homeopath",700
"MBBS, MCh - Urology, MS - General Surgery",13,95,"Egmore, Chennai","General Medicine",600
"BAMS",19,100,"Jakkur, Bangalore","Ayurveda",200
"MS - ENT, MBBS",10,95,"Andheri East, Mumbai","ENT Specialist",750
"MBBS, MS - ENT, Diploma in Otorhinolaryngology (DLO)",39,95,"Greams Road, Chennai","ENT Specialist",100
"MBBS, DNB - Dermatology & Venereology",14,95,"Triplicane, Chennai","Dermatologists",150
"BAMS",4,95,"Sainikpuri, Hyderabad","Ayurveda",350
"DVD, MBBS",34,90,"Mulund West, Mumbai","Dermatologists",100
"BAMS, MD - Ayurveda Medicine",18,100,"Yelahanka, Bangalore","Ayurveda",400
"BAMS, MD - Ayurveda Medicine, M.A - Sanskrit",16,98,"Ghatkopar West, Mumbai","Ayurveda",100
"BDS",6,95,"BTM Layout 2nd Stage, Bangalore","Dentist",100
"BAMS, Post Graduate Diploma in Emergency Services (PGDEMS)",6,95,"Kanjurmarg, Mumbai","Ayurveda",100
"MBBS, DDV, MD - Skin,VD & Leprosy",46,95,"Sion, Mumbai","Dermatologists",100
"BDS, MDS - Prosthodontics",12,100,"Perungudi, Chennai","Dentist",200
"MD - Dermatology , Venereology & Leprosy, MBBS",11,93,"Sholinganallur, Chennai","Dermatologists",300
"MBBS, MS - ENT",37,95,"Alandur, Chennai","ENT Specialist",400
"MBBS, MD - General Medicine",19,95,"Dilsukhnagar, Hyderabad","General Medicine",150
"MBBS, MD - Dermatology, Fellowship in Cosmetic Surgery",16,95,"Pitampura, Delhi","Dermatologists",100
"BHMS",13,95,"New Ashok Nagar, Delhi","Homeopath",300
"MBBS, Diploma in Otorhinolaryngology (DLO)",27,95,"Murugeshpalya, Bangalore","General Medicine",250
"BHMS",13,95,"Dwarka, Delhi","Homeopath",500
"BDS",24,95,"Kakkanad, Ernakulam","Dentist",100
"MBBS, MD - General Medicine, DM - Endocrinology, DNB - Endocrinology, Diabetes, Metabolism",9,84,"Yeshwanthpur, Bangalore","General Medicine",500
"MBBS, Diploma in Otorhinolaryngology (DLO), MS - ENT",30,47,"Old Airport Road, Bangalore","ENT Specialist",650
"MD - General Medicine, MBBS",48,95,"Old Rajendra Nagar, Delhi","General Medicine",100
"BDS, MDS - Orthodontics",7,100,"Vileparle East, Mumbai","Dentist",100
"BDS, MDS - Public Health Dentistry",8,95,"Banjara Hills, Hyderabad","Dentist",250
"MBBS, MS - ENT",47,95,"Sarita Vihar, Delhi","ENT Specialist",100
"BDS, MDS - Oral & Maxillofacial Surgery",46,90,"Kondapur, Hyderabad","Dentist",250
"MBBS, Diploma in Otorhinolaryngology (DLO)",13,95,"Banashankari 3rd Stage, Bangalore","ENT Specialist",150
"BAMS",8,95,"Mogappair West, Chennai","Ayurveda",100
"BAMS",29,100,"Khanpur, Delhi","Ayurveda",300
"BDS",19,95,"Gandhipuram, Coimbatore","Dentist",50
"BAMS, Certified Yoga and Pranic healing Therapist , Certified National Diabetes Educator , Bachelor of Acupuncture , Certified Analytical Hypnotherapist, Diploma in Physiotherapy",30,95,"RT Nagar, Bangalore","Ayurveda",500
"BDS, MDS - Conservative Dentistry & Endodontics",14,98,"South Extension 2, Delhi","Dentist",500
"MBBS, MD - General Medicine",37,86,"Begumpet, Hyderabad","General Medicine",100
"MBBS, MD - Dermatology",8,95,"Perumbakkam, Chennai","Dermatologists",300
"BDS",4,100,"Gachibowli, Hyderabad","Dentist",300
"MBBS",19,95,"Madiwala, Bangalore","General Medicine",100
"BAMS",13,95,"Kandivali East, Mumbai","Ayurveda",300
"DNB - Dermatology & Venereology, MBBS, MD - Skin & VD",15,100,"Powai, Mumbai","Dermatologists",700
"BDS, MDS - Pedodontics",6,100,"Vileparle West, Mumbai","Dentist",400
"MBBS, Diploma in Otorhinolaryngology (DLO), MS - ENT, DNB - ENT",35,95,"Karol Bagh, Delhi","ENT Specialist",600
"BHMS, Diploma in Cosmetology",13,99,"Rajouri Garden, Delhi","Homeopath",400
"MBBS, Diploma in Otorhinolaryngology (DLO)",27,95,"Indiranagar, Bangalore","ENT Specialist",350
"MD - Homeopathy Psychiatry, BHMS",9,95,"Powai, Mumbai","Homeopath",500
"BDS, MDS - Prosthodontics",3,95,"Dilshad Garden, Delhi","Dentist",250
"BDS, MDS - Pedodontics",6,95,"Panampilly Nagar, Ernakulam","Dentist",100
"BHMS",8,95,"Subhash Nagar, Delhi","Homeopath",200
"BHMS",24,100,"Khar West, Mumbai","Homeopath",100
"BHMS",30,95,"Vileparle East, Mumbai","Homeopath",500
"BAMS",28,97,"Shalimar Bagh, Delhi","Ayurveda",500
"MBBS",44,95,"Peelamedu, Coimbatore","General Medicine",100
"Get inspired by remarkable stories of people like you",0,95,"","Dermatologists",100
"BDS, MDS - Conservative Dentistry & Endodontics",9,95,"Adyar, Chennai","Dentist",500
"MBBS, MD - Dermatology , Venereology & Leprosy",12,95,"Nungambakkam, Chennai","Dermatologists",100
"BHMS",23,99,"Bandra West, Mumbai","Homeopath",100
"BHMS",18,95,"Opera House, Mumbai","Homeopath",100
"MBBS, MS - ENT",31,94,"Saket, Delhi","ENT Specialist",100
"BDS, MDS - Oral & Maxillofacial Surgery",10,100,"Koramangala, Bangalore","Dentist",300
"BHMS, MD - Medicine",9,83,"Malviya Nagar, Delhi","Homeopath",700
"BHMS, PGDHHM",5,95,"Borivali, Mumbai","Homeopath",100
"BHMS",21,99,"Whitefield, Bangalore","Homeopath",500
"MBBS, MD - General Medicine",21,95,"Mogappair, Chennai","General Medicine",600
"MBBS, DDV",16,95,"Bandra West, Mumbai","Dermatologists",500
"MBBS, MD - Dermatology, Fellowship in Aesthetic Medicine",7,95,"Kilpauk, Chennai","Dermatologists",100
"MBBS, MRCP (UK), MSc - Clinical Dermatology",14,100,"Malakpet, Hyderabad","General Medicine",250
"MBBS, Diploma in Otorhinolaryngology (DLO), MS - ENT, M.Ch",25,95,"Washermenpet, Chennai","ENT Specialist",200
"BAMS",19,95,"Kurla East, Mumbai","Ayurveda",100
"MBBS, Diploma in Otorhinolaryngology (DLO), DNB",18,82,"Ecil, Hyderabad","ENT Specialist",350
"BDS",20,93,"Domlur, Bangalore","Dentist",500
"MD - Physician",18,95,"Dwarka Sector 23, Delhi","General Medicine",500
"MBBS, MD - Dermatology, DNB - Dermatology & Venereology",15,97,"Goregaon West, Mumbai","Dermatologists",600
"BDS, MDS - Periodontology and Oral Implantology",8,100,"Whitefield, Bangalore","Dentist",500
"BDS, PG Diploma In Clinical Cosmetology (PGDCC)",6,100,"Jayanagar 9 Block, Bangalore","Dentist",250
"BHMS, Certificate in Medical Cosmetology",8,95,"Goregaon West, Mumbai","Homeopath",700
"BAMS",6,95,"Old Rajendra Nagar, Delhi","Ayurveda",300
"MBBS, MD - Radiotherapy, FCCS",19,95,"Pitampura, Delhi","General Medicine",100
"BDS, MDS - Conservative Dentistry & Endodontics",7,100,"Medavakkam, Chennai","Dentist",100
"MD - Physician",19,99,"Badarpur, Delhi","General Medicine",200
"BHMS",6,95,"Katwaria Sarai, Delhi","Homeopath",200
"MS - Ayurveda, Advanced Course in Cosmetology and Aesthetic Medicine, Certificate course in SUJOK Therapy, BAMS",10,100,"Peyad, Thiruvananthapuram","Ayurveda",100
"MD - Dermatology, MBBS",23,95,"Vileparle West, Mumbai","Dermatologists",100
"MBBS, MD - Dermatology , Venereology & Leprosy",11,95,"Secunderabad, Hyderabad","Dermatologists",250
"BHMS, Doctor of Homeopathic Medicine (HMD), Certificate in Child Health (CCH), CGO",22,95,"Andheri West, Mumbai","Homeopath",100
"BAMS",16,95,"Jayanagar 7 Block, Bangalore","Ayurveda",500
"Fellowship In Clinical Cosmetology, BDS, Fellowship In Anti-Aging And Aesthetic Medicine, Fellowship in Aesthetic Dentistry (FAD)",18,82,"Andheri West, Mumbai","Dentist",300
"BDS, MDS - Oral & Maxillofacial Surgery",12,96,"Horamavu, Bangalore","Dentist",500
"MBBS, MD - Dermatology",8,98,"Panchsheel Park, Delhi","Dermatologists",100
"Cochlear Implant Surgery, Fellowship Cochlear Implant Training, MBBS, DLO, DNB - ENT",10,95,"Banjara Hills, Hyderabad","ENT Specialist",600
"BHMS",0,95,"Koramangala, Bangalore","Homeopath",350
"MBBS, Fellowship in Diabetology",28,96,"Mogappair West, Chennai","General Medicine",250
"MBBS, DNB - Dermatology & Venereology, Fellowship in Aesthetic Medicine, MD - Dermatology",9,96,"Opera House, Mumbai","Dermatologists",100
"MBBS, Diploma in Otorhinolaryngology (DLO), DNB - ENT",23,95,"Malleswaram, Bangalore","ENT Specialist",500
"MBBS, Diploma in Otorhinolaryngology (DLO)",39,95,"Kolathur, Chennai","ENT Specialist",50
"BDS",9,99,"Bandra West, Mumbai","Dentist",100
"BAMS",19,95,"Gandhi Nagar, Chennai","Ayurveda",200
"BDS, MDS - Oral & Maxillofacial Surgery",5,95,"Lajpat Nagar, Delhi","Dentist",250
"BAMS",21,95,"Uday Park, Delhi","Ayurveda",500
"BHMS",16,95,"T Dasarahalli, Bangalore","Homeopath",350
"MBBS",48,95,"Vennala, Ernakulam","General Medicine",100
"BDS, MDS - Periodontics, Fellowship in Aesthetic Medicine",5,95,"R.S. Puram, Coimbatore","Dentist",100
"BHMS",2,95,"Lajpat Nagar, Delhi","Homeopath",200
"BHMS, Post Graduate Diploma in Psychological Counseling",8,95,"Bandlaguda, Hyderabad","Homeopath",150
"BDS, Certificate in Dental Implants",17,100,"Pitampura, Delhi","Dentist",200
"BHMS, MD - Homeopathy",16,95,"Karukappilli, Ernakulam","Homeopath",50
"MBBS, MD - Physician, Post Graduate Diploma in Diabetology (PGDD)(Madras Medical College)",17,100,"Kukatpally, Hyderabad","General Medicine",300
"MBBS, DDVL",6,95,"Vileparle East, Mumbai","Dermatologists",500
"MBBS, DNB, DM - Neurology",13,95,"Vilankurichi, Coimbatore","General Medicine",250
"BDS",7,95,"Bellandur, Bangalore","Dentist",200
"BAMS",5,95,"Govandi, Mumbai","Ayurveda",50
"B.Sc, MD - Homeopathy",45,95,"Rana Pratap Bagh, Delhi","Homeopath",250
"MBBS",18,95,"Gachibowli, Hyderabad","General Medicine",600
"BHMS",14,98,"Mukherjee Nagar, Delhi","Homeopath",50
"BDS, Fellowship in Aesthetic Dentistry (FAD)",11,95,"Peelamedu, Coimbatore","Dentist",150
"MBBS, MD - Dermatology",9,95,"Kilpauk, Chennai","Dermatologists",400
"MBBS, DDV",10,100,"Ghatkopar East, Mumbai","Dermatologists",500
"MBBS",20,95,"Jogeshwari East, Mumbai","General Medicine",500
"BAMS",17,95,"Mira Road, Mumbai","Ayurveda",100
"BDS, MDS - Prosthodontist And Crown Bridge",7,100,"Pitampura, Delhi","Dentist",200
"BHMS, Diploma in Emergency Medicine",9,95,"Mulund West, Mumbai","Homeopath",500
"MBBS, MD - Dermatology",12,95,"Kandivali East, Mumbai","Dermatologists",500
"MBBS, MS - ENT",19,33,"Old Airport Road, Bangalore","ENT Specialist",650
"BAMS, Diploma in Skin Treatments (UK), Diploma in Diet and Nutrition",9,94,"Janak Puri, Delhi","Ayurveda",100
"Certification of Aesthetic Dentistry & Periodontics, MDS- Oral Pathology, BDS, Fellowship in Implantology",16,97,"HSR Layout, Bangalore","Dentist",100
"BDS, MDS - Oral Medicine",11,95,"Dwarka, Delhi","Dentist",200
"BHMS, CGO",10,95,"Malad West, Mumbai","Homeopath",500
"MBBS, MS - ENT",16,95,"Chattarpur, Delhi","ENT Specialist",400
"MBBS, MS - ENT",28,100,"Jasola, Delhi","ENT Specialist",500
"BAMS, MD - Ayurveda Medicine",24,95,"Yelahanka, Bangalore","Ayurveda",400
"MBBS, MD - General Medicine, FCCM",19,95,"Secunderabad, Hyderabad","General Medicine",600
"BHMS",15,95,"Kurla West, Mumbai","Homeopath",100
"MS - Otorhinolaryngology, MBBS",3,95,"Habsiguda, Hyderabad","ENT Specialist",350
"MBBS, MD - Dermatology , Venereology & Leprosy",12,97,"Alwarpet, Chennai","Dermatologists",500
"MDS - Orthodontics, BDS",15,99,"Kochi M.G.Road, Ernakulam","Dentist",150
"MD - Dermatology , Venereology & Leprosy, MBBS",6,95,"Gopalapuram, Chennai","Dermatologists",200
"MDS - Oral & Maxillofacial Surgery, BDS",4,95,"Borivali West, Mumbai","Dentist",300
"BHMS",9,95,"Powai, Mumbai","Homeopath",100
"MBBS, MD - General Medicine",18,95,"Gopalapuram, Chennai","General Medicine",700
"MD - Dermatology",50,95,"Vasant Kunj, Delhi","Dermatologists",700
"MBBS, MRCP (UK)",18,95,"Manapakkam, Chennai","General Medicine",600
"MBBS, MD - Dermatology",13,95,"Yeshwanthpur, Bangalore","Dermatologists",250
"MBBS, MD - Dermatology , Venereology & Leprosy, FRGUHS",9,100,"JP Nagar 5 Phase, Bangalore","Dermatologists",350
"MBBS",27,95,"Puthenvelikkara, Ernakulam","General Medicine",100
"MBBS, Diploma in Otorhinolaryngology (DLO), MCh - Burns & Plastic Surgery",22,95,"Mogappair East, Chennai","ENT Specialist",300
"MBBS, MD - Internal Medicine, EULAR Certificate in Rheumatology",6,97,"Prabhadevi, Mumbai","General Medicine",100
"MBBS, MS - Ophthalmology, FICO (UK)",15,95,"Sowcarpet, Chennai","General Medicine",200
"MBBS, DNB, Fellowship in Diabetology, Diploma in Cardiology",17,96,"KR Puram, Bangalore","General Medicine",500
"MD - Homeopathy",12,95,"Dadar East, Mumbai","Homeopath",100
"BAMS, Post Graduate Diploma In Yoga",4,95,"HSR Layout, Bangalore","Ayurveda",200
"BAMS",31,95,"Attapur, Hyderabad","Ayurveda",200
"BHMS",3,95,"Nallagandla, Hyderabad","Homeopath",200
"BDS",7,99,"Bellandur, Bangalore","Dentist",200
"MBBS, DNB - General Medicine, MD - General Medicine, MRCPS, Member of the Royal College of Physicians, UK (MRCP UK)",22,99,"Lingampally, Hyderabad","General Medicine",700
"MD - Homeopathy",15,95,"Dilsukhnagar, Hyderabad","Homeopath",450
"MBBS, MD - Internal Medicine, DNB - Internal Medicine",18,93,"Andheri East, Mumbai","General Medicine",750
"MBBS, MS - ENT",30,95,"Shalimar Bagh, Delhi","ENT Specialist",300
"MBBS, MD - General Medicine",6,95,"Langer House, Hyderabad","General Medicine",300
"MD - Dermatology",10,95,"Banerji Road, Ernakulam","Dermatologists",100
"MBBS, DGO",34,95,"Chitlapakkam, Chennai","General Medicine",200
"BDS",46,95,"Panampilly Nagar, Ernakulam","Dentist",100
"MBBS, Diploma in Medical Cosmetology",27,95,"Vileparle East, Mumbai","General Medicine",150
"BHMS",18,95,"Jayanagar, Bangalore","Homeopath",300
"BAMS, Fellowship in Gastroenterology",5,98,"Banashankari, Bangalore","Ayurveda",150
"MD - Dermatology , Venereology & Leprosy, MBBS",4,95,"Ecil, Hyderabad","Dermatologists",400
"BDS",13,95,"Malumichampatti, Coimbatore","Dentist",100
"BHMS, MD - Homeopathy",0,95,"Patel Nagar East, Delhi","Homeopath",100
"BHMS",5,95,"Najafgarh, Delhi","Homeopath",200
"MBBS, MD - General Medicine",16,95,"Old Rajendra Nagar, Delhi","General Medicine",100
"MBBS, MCh - Urology",24,95,"Secunderabad, Hyderabad","General Medicine",200
"MBBS",49,95,"Alwarthirunagar, Chennai","General Medicine",100
"MD - Dermatology, MBBS",11,99,"Whitefield, Bangalore","Dermatologists",500
"BDS",18,96,"Velachery, Chennai","Dentist",100
"BHMS, MD - Homeopathy",21,95,"Kukatpally, Hyderabad","Homeopath",250
"MBBS, FCPS - Dermatology, Venereology & Leprosy",16,97,"Sion West, Mumbai","Dermatologists",600
"BDS, MDS - Conservative Dentistry & Endodontics",7,95,"Banjara Hills, Hyderabad","Dentist",200
"DNB - Dermatology & Venereology, PhD - Dermatology & Venereology",13,94,"Kotturpuram, Chennai","Dermatologists",600
"G.A.M.S",39,95,"New Seemapuri, Delhi","Ayurveda",100
"BAMS",2,95,"Rajajinagar, Bangalore","Ayurveda",300
"MBBS",3,95,"Madhapur, Hyderabad","ENT Specialist",100
"MBBS, MD - General Medicine",27,95,"Ameerpet, Hyderabad","General Medicine",400
"BAMS, MD - Ayurveda Medicine",4,95,"Srinagar Colony, Hyderabad","Ayurveda",200
"Get inspired by remarkable stories of people like you",0,95,"","Dermatologists",100
"MBBS",22,93,"Dwarka, Delhi","General Medicine",300
"MBBS, DNB - Pulmonary Medicine, FCCS",8,100,"Saket, Delhi","General Medicine",500
"MDS - Oral Medicine and Radiology",8,95,"Mehdipatnam, Hyderabad","Dentist",200
"MBBS, DDVL",10,100,"Kakkanad, Ernakulam","Dermatologists",200
"BAMS",6,95,"Sarita Vihar, Delhi","Ayurveda",300
"MDS - Orthodontics, BDS, Post Graduate Certificate Course In Aesthetic Dentistry",17,95,"Kumarapuram, Thiruvananthapuram","Dentist",200
"BAMS",15,95,"Sakinaka, Mumbai","Ayurveda",70
"MBBS, MS - ENT",39,95,"Model Town, Delhi","ENT Specialist",900
"BAMS",13,95,"Rajajinagar, Bangalore","Ayurveda",200
"DHMS (Diploma in Homeopathic Medicine and Surgery)",21,95,"Rohini Sector 8, Delhi","Homeopath",400
"MBBS, Diploma in Otorhinolaryngology (DLO), DNB - ENT",34,95,"Washermenpet, Chennai","ENT Specialist",50
"MBBS, MD - General Medicine, FRCP, D.Sc, FACP, FRCP, FRCP",41,95,"Gopalapuram, Chennai","General Medicine",700
"MBBS, MD - Medicine",35,95,"Raja Annamalai Puram, Chennai","General Medicine",350
"BDS, MDS - Conservative Dentistry & Endodontics",9,100,"Madhu Vihar, Delhi","Dentist",200
"MBBS, MS - ENT, DNB - Otorhinolaryngology",8,95,"Rohini Sector 2, Delhi","ENT Specialist",300
"MBBS",39,95,"Ganapathy, Coimbatore","General Medicine",50
"MBBS, MS - Otorhinolaryngology",10,95,"Kondapur, Hyderabad","ENT Specialist",400
"MBBS, Member of the Royal College of General Practitioners UK (MRCGP), Post Graduate Diploma in Diabetology (PGDD)",8,98,"Bellandur, Bangalore","General Medicine",500
"MBBS, Diploma in Anesthesiology",40,95,"Patparganj, Delhi","General Medicine",180
"BDS, MDS",20,98,"Banashankari 3rd Stage, Bangalore","Dentist",400
"MBBS, MD - Dermatology",14,95,"Thousand Lights, Chennai","Dermatologists",500
"BDS, MDS - Oral Medicine and Radiology",13,100,"Mulund West, Mumbai","Dentist",100
"MD - Physician",13,95,"Madhapur, Hyderabad","General Medicine",300
"MBBS, PG in Diabetology, PG in Diabetology (USA)",11,100,"Chintal, Hyderabad","General Medicine",200
"MBBS, MD - Geriatrics",6,97,"Mulund West, Mumbai","General Medicine",100
"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery",24,100,"Old Airport Road, Bangalore","General Medicine",650
"BDS, MDS - Conservative Dentistry & Endodontics",13,97,"Powai, Mumbai","Dentist",300
"BDS",12,95,"Paschim Vihar, Delhi","Dentist",250
"BHMS",31,95,"Trombay, Mumbai","Homeopath",100
"LCEH",35,95,"Vileparle West, Mumbai","Homeopath",200
"MBBS",19,95,"Mylapore, Chennai","General Medicine",500
"MBBS, MD - General Medicine, Advanced Certificate Course In Diabetes, Fellowship in Aesthetic Medicine",10,95,"Tilak Nagar, Delhi","General Medicine",350
"BDS, MDS - Periodontology and Oral Implantology, PGDMLS, MDS - Prosthodontics, MDS - Endodontics",22,99,"Bandra West, Mumbai","Dentist",100
"BDS",22,95,"Peelamedu, Coimbatore","Dentist",50
"BHMS",10,95,"Egmore, Chennai","Homeopath",300
"MBBS, MD - Dermatology , Venereology & Leprosy",39,100,"Peddar Road, Mumbai","Dermatologists",100
"BDS, MDS",26,95,"Kukatpally, Hyderabad","Dentist",250
"MBBS",7,95,"Ganapathy, Coimbatore","General Medicine",60
"MBBS, Diploma in Medical Radio-Diagnosis",39,95,"Viveknagar, Bangalore","General Medicine",350
"MBBS",20,95,"Bhandup West, Mumbai","General Medicine",500
"BAMS",2,95,"Yelahanka, Bangalore","Ayurveda",300
"MBBS, MS - Otorhinolaryngology, FRCS",34,95,"OMR Road, Chennai","ENT Specialist",700
"MD AYURVED AND YOG, BAMS",8,95,"Vasant Kunj, Delhi","Ayurveda",300
"MD - Skin & VD, DVD, MBBS",31,96,"Khar West, Mumbai","Dermatologists",100
"MBBS, MD - Internal Medicine",23,95,"Indiranagar, Bangalore","General Medicine",750
"B.Sc, MBBS",49,95,"Perambur, Chennai","General Medicine",50
"MBBS, MD - General Medicine, DM - Endocrinology",15,99,"Ashok Nagar, Chennai","General Medicine",500
"MBBS, Diploma in Otorhinolaryngology (DLO)",19,95,"Dilshad Garden, Delhi","ENT Specialist",250
"MDS - Conservative Dentistry & Endodontics, BDS",21,99,"Vasant Vihar, Delhi","Dentist",500
"MBBS, MS - ENT",23,95,"Kothaguda, Hyderabad","ENT Specialist",500
"MBBS, MS - ENT",14,89,"Tambaram, Chennai","ENT Specialist",220
"BHMS",7,95,"Anna Nagar West, Chennai","Homeopath",200
"BHMS, MD - Alternate Medicine",10,96,"Krishna Nagar, Delhi","Homeopath",300
"BHMS",9,95,"Tambaram, Chennai","Homeopath",450
"BDS",4,95,"Thoraipakkam, Chennai","Dentist",200
"BHMS",20,94,"Madangir, Delhi","Homeopath",200
"MBBS, MS - ENT",26,60,"KR Puram, Bangalore","ENT Specialist",200
"BDS",16,98,"Tarnaka, Hyderabad","Dentist",150
"BDS",4,95,"Kondapur, Hyderabad","Dentist",200
"MBBS, MD - Dermatology",5,95,"Ram Nagar, Hyderabad","Dermatologists",200
"MDS - Conservative Dentistry & Endodontics, BDS",14,98,"Kilpauk, Chennai","Dentist",500
"MD - Homeopathy",17,67,"KPHB, Hyderabad","Homeopath",800
"MD - General Medicine, DM - Nephrology, MBBS",6,95,"Saket, Delhi","General Medicine",900
"BDS",10,95,"KPHB, Hyderabad","Dentist",200
"BDS, MDS, DICOI",31,97,"Adyar, Chennai","Dentist",500
"MBBS, MD - General Medicine",25,89,"Dwarka, Delhi","General Medicine",400
"MBBS, DVD",42,95,"Patel Nagar West, Delhi","Dermatologists",350
"MBBS, MD - Dermatology, DNB - Dermatology & Venereology",12,96,"JP Nagar 2 Phase, Bangalore","Dermatologists",400
"MBBS, DDVL",13,97,"Egmore, Chennai","Dermatologists",500
"BHMS",12,100,"Koramangala 4 Block, Bangalore","Homeopath",300
"BDS, MDS - Paedodontics And Preventive Dentistry",11,95,"Ghatkopar East, Mumbai","Dentist",500
"MD - Dermatology, MBBS, Diploma in Medical Cosmetology",7,95,"Jubilee Hills, Hyderabad","Dermatologists",500
"BAMS",9,95,"Sanjay Nagar, Bangalore","Ayurveda",100
"BAMS",29,95,"Santacruz East, Mumbai","Ayurveda",200
"MBBS, Diploma in Otorhinolaryngology (DLO), Post Graduate Diploma in Hospital & Healthcare Management, MS - ENT",24,78,"Kandivali East, Mumbai","ENT Specialist",700
"BDS, MDS - Conservative Dentistry & Endodontics",11,95,"Saidabad, Hyderabad","Dentist",150
"BHMS",28,100,"Powai, Mumbai","Homeopath",800
"MBBS",57,95,"JP Nagar 2 Phase, Bangalore","General Medicine",100
"MBBS, MD - Skin & VD, Fellowship In Cosmetic Dermatology, Training Certificate in Hair Transplant",9,100,"Andheri West, Mumbai","Dermatologists",100
"MBBS, MD - Dermatology",0,95,"Marathahalli, Bangalore","Dermatologists",800
"MBBS, MS - ENT",9,95,"Banashankari 3rd Stage, Bangalore","ENT Specialist",200
"MBBS, DDVL",6,94,"Kalyan Nagar, Bangalore","Dermatologists",500
"BDS, MDS - Conservative Dentistry & Endodontics",10,99,"Mira Road, Mumbai","Dentist",100
"MS - ENT",0,95,"West Mambalam, Chennai","ENT Specialist",70
"MS - Otorhinolaryngology, MBBS, DNB, MBA (HCS), MS - ENT",13,95,"Dilshad Garden, Delhi","ENT Specialist",300
"MBBS, MD - Obstetrics & Gynaecology",26,95,"Vanagaram, Chennai","General Medicine",500
"BDS",29,95,"Ramanathapuram, Coimbatore","Dentist",50
"MD - Homeopathy, BHMS",15,95,"Dwarka Sector 5, Delhi","Homeopath",300
"MBBS, MD - General Medicine, Fellowship in Diabetology, Certificate Course in Gestational Diabetes Mellitus",19,95,"Arumbakkam, Chennai","General Medicine",350
"MBBS",53,95,"Bandra West, Mumbai","General Medicine",250
"MBBS, MD - Internal Medicine",21,98,"Paschim Vihar, Delhi","General Medicine",500
"DHMS (Diploma in Homeopathic Medicine and Surgery)",22,95,"Dwarka Sector 10, Delhi","Homeopath",200
"MBBS",42,95,"Tambaram East, Chennai","General Medicine",100
"BDS, MDS - Periodontology and Oral Implantology",11,99,"Kolathur, Chennai","Dentist",200
"BHMS",3,95,"Edapally, Ernakulam","Homeopath",100
"MBBS, Diploma in Otorhinolaryngology (DLO)",23,99,"Agaram, Chennai","ENT Specialist",300
"BDS, MDS - Pedodontics",17,100,"HSR Layout, Bangalore","Dentist",100
"BAMS, PhD- Ayurveda",38,95,"Naraina Vihar, Delhi","Ayurveda",100
"MBBS, MS - Otorhinolaryngology, Diploma in Otorhinolaryngology (DLO)",33,95,"Anna Nagar, Chennai","ENT Specialist",100
"BAMS",5,95,"Poovachal, Thiruvananthapuram","Ayurveda",150
"BAMS, P.G. Diploma in Yoga & Meditation, Certificate Course in Panchakarma",11,100,"Koramangala 4 Block, Bangalore","Ayurveda",200
"MD - Dermatology, MBBS",5,95,"Vasant Vihar, Delhi","Dermatologists",100
"MBBS, Post Graduate Diploma in Diabetology (PGDD)",39,95,"Ambattur, Chennai","General Medicine",200
"BAMS, MD-Ayurvedic Vachaspati",8,95,"Andheri East, Mumbai","Ayurveda",400
"BHMS",12,95,"Mugalivakkam, Chennai","Homeopath",350
